stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
760,1976-06-01,2024-05-12,53.3629,9.9435,Rosengarten-Klecken,daily,kl,historical,41.71281924710177,1056,Pinneberg
704,1979-04-01,2024-05-12,53.4451,9.139,Bremervoerde,daily,kl,historical,49.83127700535628,1056,Pinneberg
4841,1998-10-01,2024-05-12,53.6946,8.8735,"Steinau, Kr. Cuxhaven",daily,kl,historical,56.97254542947833,1056,Pinneberg
1200,1998-01-01,2024-05-12,54.0691,9.0105,Elpersbuettel,daily,kl,historical,61.65233837307982,1056,Pinneberg
3086,1985-03-01,2024-05-12,53.8025,10.6989,Luebeck-Blankensee,daily,kl,historical,63.85068056376718,1056,Pinneberg
6163,1999-10-04,2024-05-12,54.1654,10.3519,Doernick,daily,kl,historical,63.969385562044174,1056,Pinneberg
1736,1951-01-01,2024-05-12,53.5731,10.6797,Grambek,daily,kl,historical,64.10402270695481,1056,Pinneberg
6105,1998-06-01,2024-05-12,54.3194,9.8051,Ostenfeld (Rendsburg),daily,kl,historical,67.05471400379966,1056,Pinneberg
2303,1969-01-01,2024-05-12,54.3162,9.5385,Hohn,daily,kl,historical,67.82328154242316,1056,Pinneberg
891,1946-01-01,2024-05-12,53.8713,8.706,Cuxhaven,daily,kl,historical,69.91631704017604,1056,Pinneberg
5014,1952-01-01,2024-05-12,53.2758,8.9857,Worpswede-Huettenbusch,daily,kl,historical,69.93876481740205,1056,Pinneberg
1266,1964-05-01,2024-05-12,54.2992,9.3162,Erfde,daily,kl,historical,70.30045166662546,1056,Pinneberg
4275,1946-01-01,2024-05-12,53.1289,9.3398,Rotenburg (Wuemme),daily,kl,historical,70.58761682272878,1056,Pinneberg
3639,1974-01-01,2024-05-12,53.7647,8.6584,Nordholz-Wanhoeden,daily,kl,historical,71.20557132474694,1056,Pinneberg
591,1947-01-01,2024-05-12,53.3911,10.6878,Boizenburg,daily,kl,historical,72.47637270723774,1056,Pinneberg
788,1965-01-01,2024-05-12,54.1193,8.8584,Buesum,daily,kl,historical,72.89877077006314,1056,Pinneberg
6093,1998-02-01,2024-05-12,53.2139,10.4704,Wendisch Evern,daily,kl,historical,74.07035228769342,1056,Pinneberg
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,77.98313651499696,1056,Pinneberg
701,1949-01-01,2024-05-12,53.5332,8.5761,Bremerhaven,daily,kl,historical,79.33234864320244,1056,Pinneberg
5078,1940-01-01,2024-05-12,53.9619,10.8892,Travemuende,daily,kl,historical,80.2504265867564,1056,Pinneberg
2437,1971-01-01,2024-05-12,54.457,9.5203,Schleswig-Jagel,daily,kl,historical,83.43207660240296,1056,Pinneberg
4745,1935-01-01,2024-05-12,52.9604,9.793,Soltau,daily,kl,historical,84.28018592593385,1056,Pinneberg
3897,1998-01-01,2024-05-12,54.0893,10.8773,Pelzerhaken,daily,kl,historical,85.29923390867889,1056,Pinneberg
